name,lon,lat
MSN,-89.3356704711914,43.14182964095191
YVR,-123.18145751953125,49.19651270271734
PDX,-122.60055541992188,45.589056224816716
SFO,-122.3822021484375,37.62347744729925
SBA,-119.84195709228514,34.42716006914838
LAX,-118.40841293334962,33.94350235501464
SAN,-117.19167709350587,32.73371812051663
DEN,-104.6751594543457,39.85981364524359
MSP,-93.21624755859374,44.88348533208054
ORD,-87.90710449218749,41.983356261006165
EWR,-74.17694091796875,40.693134153308065
ATL,-84.42615509033203,33.64120503670851
GNV,-82.27575302124023,29.6915572017659
MAD,-3.564119338989258,40.47163263551583
LYS,5.089244842529297,45.72295964105212
MUC,11.784038543701172,48.353625387035365
FRA,8.55783462524414,50.036635222962936